date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:01	22095/22095	---M--	200	added ('OK')	text/html	etag:%22486-564f-4f003ae2893e2%22	http://www.bizbrain.org/coffee/	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/index.html	(from )
01:12:02	35/35	---MC-	200	added ('OK')	text/plain	date:Wed,%2010%20Sep%202014%2019:43:50%20GMT	http://www.bizbrain.org/robots.txt		(from )
01:12:05	97339/97339	---M--	200	added ('OK')	text/css	etag:%22498-17c3b-4efdb1d622da8%22	http://www.bizbrain.org/coffee/inc/bootstrap/css/bootstrap.min.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/bootstrap/css/bootstrap.min.css	(from http://www.bizbrain.org/coffee/)
01:12:07	32046/32046	---MCZ	200	added ('OK')	text/css	etag:W/%22533225b7-7d2e%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css	(from http://www.bizbrain.org/coffee/)
01:12:08	57961/57961	---M--	200	added ('OK')	text/css	etag:%2247f-e269-4efdb1d062348%22	http://www.bizbrain.org/coffee/inc/css/styles.min.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/css/styles.min.css	(from http://www.bizbrain.org/coffee/)
01:12:09	45/45	---M--	200	added ('OK')	text/css	etag:%2247d-2d-4efdb1cfc018b%22	http://www.bizbrain.org/coffee/inc/css/printstyles.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/css/printstyles.css	(from http://www.bizbrain.org/coffee/)
01:12:14	2219/2219	---M--	200	added ('OK')	application/javascript	etag:%22484-8ab-4efdb1d1c1c40%22	http://www.bizbrain.org/coffee/inc/js/detectmobilebrowser.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/js/detectmobilebrowser.js	(from http://www.bizbrain.org/coffee/)
01:12:15	268381/268381	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22533225b6-4185d%22	http://code.jquery.com/jquery-1.9.1.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/code.jquery.com/jquery-1.9.1.js	(from http://www.bizbrain.org/coffee/)
01:12:17	9769/9769	---M--	200	added ('OK')	application/javascript	etag:%22485-2629-4efdb1d23117d%22	http://www.bizbrain.org/coffee/inc/js/jquery.simplemodal.1.4.4.min.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/js/jquery.simplemodal.1.4.4.min.js	(from http://www.bizbrain.org/coffee/)
01:12:17	435844/435844	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22533225b7-6a684%22	http://code.jquery.com/ui/1.10.3/jquery-ui.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/code.jquery.com/ui/1.10.3/jquery-ui.js	(from http://www.bizbrain.org/coffee/)
01:12:18	27726/27726	---M--	200	added ('OK')	application/javascript	etag:%224a0-6c4e-4efdb1d9a25b4%22	http://www.bizbrain.org/coffee/inc/bootstrap/js/bootstrap.min.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/bootstrap/js/bootstrap.min.js	(from http://www.bizbrain.org/coffee/)
01:12:18	1984/1984	---M--	200	added ('OK')	application/javascript	etag:%224ad-7c0-4efdb1dec3d38%22	http://www.bizbrain.org/coffee/inc/bootstrap/plugins/transition.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/bizbrain/www.bizbrain.org/coffee/inc/bootstrap/plugins/transition.js	(from http://www.bizbrain.org/coffee/)
