date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:09	4579/4579	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202013%2000:45:34%20GMT	http://www.fluger.com/robots.txt		(from )
01:14:09	38423/38423	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:45:58%20GMT	http://www.fluger.com/	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/index.html	(from )
01:14:10	13330/13330	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202013%2000:45:34%20GMT	http://www.fluger.com/img/fluger-screen.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/fluger-screen.jpg	(from http://www.fluger.com/)
01:14:10	4506/4506	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:08:17%20GMT	http://www.fluger.com/img/WebClip/fluger-design-144x144-pre.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/WebClip/fluger-design-144x144-pre.png	(from http://www.fluger.com/)
01:14:10	5031/5031	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:08:17%20GMT	http://www.fluger.com/img/WebClip/fluger-design-114x114-pre.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/WebClip/fluger-design-114x114-pre.png	(from http://www.fluger.com/)
01:14:11	3108/3108	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:08:19%20GMT	http://www.fluger.com/img/WebClip/fluger-design-72x72-preco.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/WebClip/fluger-design-72x72-preco.png	(from http://www.fluger.com/)
01:14:11	2686/2686	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:08:18%20GMT	http://www.fluger.com/img/WebClip/fluger-design-57x57-preco.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/WebClip/fluger-design-57x57-preco.png	(from http://www.fluger.com/)
01:14:12	2252/2252	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202013%2018:30:52%20GMT	http://www.fluger.com/awwwards.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/awwwards.css	(from http://www.fluger.com/)
01:14:17	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2014%20Nov%202013%2016:06:36%20GMT	http://www.fluger.com/img/favicon.ico	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/favicon.ico	(from http://www.fluger.com/)
01:14:21	2720/2720	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202013%2016:08:46%20GMT	http://www.fluger.com/js/html5shiv.min.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/js/html5shiv.min.js	(from http://www.fluger.com/)
01:14:21	2200/2200	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202013%2016:08:47%20GMT	http://www.fluger.com/js/image_preloader.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/js/image_preloader.js	(from http://www.fluger.com/)
01:14:23	454265/454265	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Sep%202014%2019:46:02%20GMT	http://www.fluger.com/css/style.php	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/css/style.css	(from http://www.fluger.com/)
01:14:24	96795/96795	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Nov%202013%2019:00:38%20GMT	http://www.fluger.com/img/vint.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/vint.svg	(from http://www.fluger.com/)
01:14:24	5918/5918	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:48%20GMT	http://www.fluger.com/img/logo.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/logo.svg	(from http://www.fluger.com/)
01:14:26	1243/1243	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:04:59%20GMT	http://www.fluger.com/img/air-top.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/air-top.svg	(from http://www.fluger.com/)
01:14:26	11839/11839	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:12%20GMT	http://www.fluger.com/img/carcass/tringle-top.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/carcass/tringle-top.png	(from http://www.fluger.com/)
01:14:26	442/442	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:07:47%20GMT	http://www.fluger.com/img/tringle-top.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/tringle-top.svg	(from http://www.fluger.com/)
01:14:26	938/938	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:14%20GMT	http://www.fluger.com/img/cloud-1.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/cloud-1.svg	(from http://www.fluger.com/)
01:14:27	795/795	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:15%20GMT	http://www.fluger.com/img/cloud-2.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/cloud-2.svg	(from http://www.fluger.com/)
01:14:27	801/801	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:16%20GMT	http://www.fluger.com/img/cloud-3.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/cloud-3.svg	(from http://www.fluger.com/)
01:14:28	13275/13275	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:07:00%20GMT	http://www.fluger.com/img/pilot.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/pilot.svg	(from http://www.fluger.com/)
01:14:31	21975/21975	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:10%20GMT	http://www.fluger.com/img/carcass/tringle-large-top.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/carcass/tringle-large-top.png	(from http://www.fluger.com/)
01:14:31	92511/92511	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202013%2016:08:54%20GMT	http://www.fluger.com/js/jquery/jquery-1.9.1.min.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/js/jquery/jquery-1.9.1.min.js	(from http://www.fluger.com/)
01:14:32	1442/1442	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:47%20GMT	http://www.fluger.com/img/logo-on-menu.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/logo-on-menu.svg	(from http://www.fluger.com/)
01:14:33	1463/1463	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:40%20GMT	http://www.fluger.com/img/horisontal-airplan.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/horisontal-airplan.svg	(from http://www.fluger.com/)
01:14:33	4109/4109	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:07:52%20GMT	http://www.fluger.com/img/view.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/view.svg	(from http://www.fluger.com/)
01:14:46	73730/73730	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202013%2016:06:44%20GMT	http://www.fluger.com/img/ipad-screen.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/ipad-screen.jpg	(from http://www.fluger.com/)
01:14:49	101642/101642	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20May%202014%2022:27:27%20GMT	http://www.fluger.com/img/mac-screen-1.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/mac-screen-1.jpg	(from http://www.fluger.com/)
01:14:50	3063/3063	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:04:59%20GMT	http://www.fluger.com/img/air-top-shadow.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/air-top-shadow.svg	(from http://www.fluger.com/)
01:14:51	446/446	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:36%20GMT	http://www.fluger.com/img/FlugerVector.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/FlugerVector.svg	(from http://www.fluger.com/)
01:14:51	613/613	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:06:23%20GMT	http://www.fluger.com/img/facebook.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/facebook.svg	(from http://www.fluger.com/)
01:14:51	1382/1382	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2014%20Nov%202013%2016:07:47%20GMT	http://www.fluger.com/img/twitter.svg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/twitter.svg	(from http://www.fluger.com/)
01:14:55	169552/169552	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:13%20GMT	http://www.fluger.com/img/carcass/tringle-metal.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/carcass/tringle-metal.png	(from http://www.fluger.com/)
01:14:58	38014/38014	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:39%20GMT	http://www.fluger.com/img/headphones.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/headphones.png	(from http://www.fluger.com/)
01:15:05	242564/242564	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:10%20GMT	http://www.fluger.com/img/carcass/photo-cam-mono.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/carcass/photo-cam-mono.png	(from http://www.fluger.com/)
01:15:12	160080/160080	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202013%2016:06:47%20GMT	http://www.fluger.com/img/last-brand.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/last-brand.jpg	(from http://www.fluger.com/)
01:15:19	36964/36964	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:07:00%20GMT	http://www.fluger.com/img/photo-cam-2.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/photo-cam-2.png	(from http://www.fluger.com/)
01:15:22	13086/13086	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202013%2016:06:20%20GMT	http://www.fluger.com/img/earphones-horisontal.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/fluger/www.fluger.com/img/earphones-horisontal.png	(from http://www.fluger.com/)
