date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:06	104/104	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Tue,%2009%20Sep%202014%2018:50:54%20GMT	http://ktj.in/robots.txt		(from )
00:19:09	334916/334916	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202014%2018:50:53%20GMT	http://ktj.in/	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/index.html	(from )
00:19:15	93868/93868	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22533225b6-16eac%22	http://code.jquery.com/jquery-1.7.1.min.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/code.jquery.com/jquery-1.7.1.min.js	(from http://ktj.in/)
00:19:17	139170/139170	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.js.pagespeed.jm.GHSJPiCHAi.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.js.pagespeed.jm.GHSJPiCHAi.js	(from http://ktj.in/)
00:19:17	8710/8710	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jQueryRotate.js.pagespeed.jm.J_DRKQcKdO.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jQueryRotate.js.pagespeed.jm.J_DRKQcKdO.js	(from http://ktj.in/)
00:19:17	25583/25583	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202014%2018:16:28%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/www.google-analytics.com/analytics.js	(from http://ktj.in/)
00:19:17	11999/11999	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.nivo.slider.pack.js.pagespeed.jm.QcgUhAUHc5.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.nivo.slider.pack.js.pagespeed.jm.QcgUhAUHc5.js	(from http://ktj.in/)
00:19:19	16168/16168	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.form.js.pagespeed.jm.KPgX_MGoKl.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.form.js.pagespeed.jm.KPgX_MGoKl.js	(from http://ktj.in/)
00:19:19	3601/3601	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.easing.js.pagespeed.jm.A1dabUvSc4.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.easing.js.pagespeed.jm.A1dabUvSc4.js	(from http://ktj.in/)
00:19:19	34090/34090	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery-ui.js.pagespeed.jm.Esaoe2Tl53.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery-ui.js.pagespeed.jm.Esaoe2Tl53.js	(from http://ktj.in/)
00:19:20	7281/7281	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.transit.js.pagespeed.jm.b0x-CK-uP8.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.transit.js.pagespeed.jm.b0x-CK-uP8.js	(from http://ktj.in/)
00:19:20	99678/99678	---M--	200	added ('OK')	image/x-icon	etag:%2230010f-1855e-4e68a9d2278c0%22	http://ktj.in/favicon.ico	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/favicon.ico	(from http://ktj.in/)
00:19:20	2716/2716	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/jquery.scrollTo.js.pagespeed.jm.-alFfTAdvK.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/jquery.scrollTo.js.pagespeed.jm.-alFfTAdvK.js	(from http://ktj.in/)
00:19:20	5789/5789	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://ktj.in/static/js/exhibitions.js.pagespeed.jm.FLlYQOCGmT.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/exhibitions.js.pagespeed.jm.FLlYQOCGmT.js	(from http://ktj.in/)
00:19:21	82962/82962	---M-Z	200	added ('OK')	application/javascript	etag:%2230388f-14412-4f354b3113c8d%22	http://ktj.in/static/js/scripts.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/js/scripts.js	(from http://ktj.in/)
00:19:21	48025/48025	---M-Z	200	added ('OK')	text/css	etag:%22303525-bb99-4f354b3113c8d%22	http://ktj.in/static/css/style.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/css/style.css	(from http://ktj.in/)
00:19:21	9219/9219	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://ktj.in/static/css/workshop.css+exhibitions.css.pagespeed.cc.UZqtUmk38i.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/css/workshop.css+exhibitions.css.pagespeed.cc.UZqtUmk38i.css	(from http://ktj.in/)
00:19:23	25491/25491	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://ktj.in/static/newimages/xkgploading.png.pagespeed.ic.8_dfLMaycU.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/ktj/ktj.in/static/newimages/xkgploading.png.pagespeed.ic.8_dfLMaycU.png	(from http://ktj.in/)
