date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:31	173/173	---M-Z	200	added ('OK')	text/plain	date:Tue,%2001%20Oct%202013%2017:57:09%20GMT	http://muse.adobe.com/robots.txt		(from )
01:13:36	110283/110283	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:15%20GMT	http://muse.adobe.com/	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/index.html	(from )
01:13:37	26019/26019	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jun%202013%2021:45:46%20GMT	http://muse.adobe.com/StyleSheets/ModuleStyleSheets.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/StyleSheets/ModuleStyleSheets.css	(from http://muse.adobe.com/)
01:13:37	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:34%20GMT	http://muse.adobe.com/museutils.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/museutils.js	(from http://muse.adobe.com/)
01:13:39	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:34%20GMT	http://muse.adobe.com/jquery.scrolleffects.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/jquery.scrolleffects.js	(from http://muse.adobe.com/)
01:13:39	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:36%20GMT	http://muse.adobe.com/jquery.watch.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/jquery.watch.js	(from http://muse.adobe.com/)
01:13:40	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:37%20GMT	http://muse.adobe.com/jquery.musemenu.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/jquery.musemenu.js	(from http://muse.adobe.com/)
01:13:40	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:37%20GMT	http://muse.adobe.com/webpro.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/webpro.js	(from http://muse.adobe.com/)
01:13:41	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:37%20GMT	http://muse.adobe.com/musewpslideshow.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/musewpslideshow.js	(from http://muse.adobe.com/)
01:13:41	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:38%20GMT	http://muse.adobe.com/jquery.museoverlay.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/jquery.museoverlay.js	(from http://muse.adobe.com/)
01:13:41	1258/1258	---M--	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/html	date:Wed,%2010%20Sep%202014%2019:45:38%20GMT	http://muse.adobe.com/touchswipe.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/touchswipe.js	(from http://muse.adobe.com/)
01:13:42	13390/13390	---M--	200	added ('OK')	image/x-icon	date:Thu,%2014%20Aug%202014%2003:38:14%20GMT	http://muse.adobe.com/images/favicon.ico?4268949868	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/faviconcad1.ico	(from http://muse.adobe.com/)
01:13:43	38209/38209	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:26%20GMT	http://muse.adobe.com/phone/index.html	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/phone/index.html	(from http://muse.adobe.com/)
01:13:44	12992/12992	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Sep%202014%2015:53:47%20GMT	http://muse.adobe.com/css/site_global.css?416684023	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/css/site_globald721.css	(from http://muse.adobe.com/)
01:13:44	6256/6256	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202014%2000:38:19%20GMT	http://muse.adobe.com/css/master_source-master.css?43209508	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/css/master_source-master11cd.css	(from http://muse.adobe.com/)
01:13:48	68899/68899	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202014%2017:24:14%20GMT	http://muse.adobe.com/css/index.css?233384373	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/css/index508b.css	(from http://muse.adobe.com/)
01:13:51	2462/2462	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:19%20GMT	http://muse.adobe.com/images/stars2.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars2.png	(from http://muse.adobe.com/)
01:13:52	25583/25583	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202014%2018:16:28%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/www.google-analytics.com/analytics.js	(from http://muse.adobe.com/)
01:13:52	3292/3292	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:20%20GMT	http://muse.adobe.com/images/stars1.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars1.png	(from http://muse.adobe.com/)
01:13:54	9783/9783	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:21%20GMT	http://muse.adobe.com/images/stars_l2.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars_l2.png	(from http://muse.adobe.com/)
01:13:54	6426/6426	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:21%20GMT	http://muse.adobe.com/images/stars_r1.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars_r1.png	(from http://muse.adobe.com/)
01:13:54	19199/19199	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:20%20GMT	http://muse.adobe.com/images/jupiter.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/jupiter.png	(from http://muse.adobe.com/)
01:13:55	67423/67423	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jun%202014%2019:15:42%20GMT	http://muse.adobe.com/assets/iphone_icon.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/assets/iphone_icon.png	(from http://muse.adobe.com/)
01:13:55	12286/12286	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:22%20GMT	http://muse.adobe.com/images/stars_r2.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars_r2.png	(from http://muse.adobe.com/)
01:13:56	6730/6730	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:23%20GMT	http://muse.adobe.com/images/stars_l1.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/stars_l1.png	(from http://muse.adobe.com/)
01:13:57	2059/2059	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Aug%202014%2003:37:35%20GMT	http://muse.adobe.com/images/abobe-logo-2x.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/abobe-logo-2x.jpg	(from http://muse.adobe.com/)
01:13:57	15321/15321	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:22%20GMT	http://muse.adobe.com/images/planet.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/planet.png	(from http://muse.adobe.com/)
01:13:58	18587/18587	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:23%20GMT	http://muse.adobe.com/images/saturn.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/saturn.png	(from http://muse.adobe.com/)
01:13:58	48112/48112	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:40%20GMT	http://muse.adobe.com/tutorials.html	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/tutorials.html	(from http://muse.adobe.com/)
01:13:58	41852/41852	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:41%20GMT	http://muse.adobe.com/events.html	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/events.html	(from http://muse.adobe.com/)
01:13:59	36798/36798	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:42%20GMT	http://muse.adobe.com/site-of-the-day	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/site-of-the-day.html	(from http://muse.adobe.com/)
01:14:00	37246/37246	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:42%20GMT	http://muse.adobe.com/resources.html	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/resources.html	(from http://muse.adobe.com/)
01:14:03	2600/2600	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:25%20GMT	http://muse.adobe.com/images/sparks.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/sparks.png	(from http://muse.adobe.com/)
01:14:03	18734/18734	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:23%20GMT	http://muse.adobe.com/images/spaceship.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/spaceship.png	(from http://muse.adobe.com/)
01:14:03	8907/8907	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:24%20GMT	http://muse.adobe.com/images/awwwards_sotd_white_right.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/awwwards_sotd_white_right.png	(from http://muse.adobe.com/)
01:14:03	24346/24346	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:24%20GMT	http://muse.adobe.com/images/smoke.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/smoke.png	(from http://muse.adobe.com/)
01:14:10	1193/1193	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Aug%202014%2003:38:28%20GMT	http://muse.adobe.com/images/arrows.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/arrows.jpg	(from http://muse.adobe.com/)
01:14:11	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2014%20Aug%202014%2003:37:39%20GMT	http://muse.adobe.com/images/blank.gif	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/blank.gif	(from http://muse.adobe.com/)
01:14:12	730/730	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202014%2019:46:55%20GMT	http://muse.adobe.com/assets/dial/dial.html	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/assets/dial/dial.html	(from http://muse.adobe.com/)
01:14:12	69429/69429	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:26%20GMT	http://muse.adobe.com/images/mc_center.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/mc_center.png	(from http://muse.adobe.com/)
01:14:15	20814/20814	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:36%20GMT	http://muse.adobe.com/images/ui_dark1.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/ui_dark1.png	(from http://muse.adobe.com/)
01:14:16	2821/2821	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Aug%202014%2003:38:37%20GMT	http://muse.adobe.com/images/moonstars.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/moonstars.jpg	(from http://muse.adobe.com/)
01:14:17	3870/3870	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Aug%202014%2003:38:37%20GMT	http://muse.adobe.com/images/spacestation.jpg	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/spacestation.jpg	(from http://muse.adobe.com/)
01:14:18	1949/1949	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:37:40%20GMT	http://muse.adobe.com/images/widthicon.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/widthicon.png	(from http://muse.adobe.com/)
01:14:19	1534/1534	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:51%20GMT	http://muse.adobe.com/images/starz163x173.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/starz163x173.png	(from http://muse.adobe.com/)
01:14:21	2625/2625	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Aug%202014%2003:38:52%20GMT	http://muse.adobe.com/images/starz255x272.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/muse_adobe/muse.adobe.com/images/starz255x272.png	(from http://muse.adobe.com/)
