date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:45	204/204	---M--	200	added ('OK%20')	text/plain	date:Thu,%2014%20Nov%202013%2016:55:24%20GMT	http://www.nguma.com/robots.txt		(from )
01:15:46	5281/5281	---M--	200	added ('OK%20')	text/html	etag:%22f3e408ba753febed16baabf68a6f1984%22	http://www.nguma.com/	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/index.html	(from )
01:15:49	149412/149412	---M--	200	added ('OK%20')	text/css	date:Thu,%2014%20Nov%202013%2016:55:25%20GMT	http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css	(from http://www.nguma.com/)
01:15:49	0/0	---M--	404	error ('Not%20Found%20')	text/html	date:Wed,%2010%20Sep%202014%2019:47:39%20GMT	http://www.nguma.com/play	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/play	(from http://www.nguma.com/)
01:15:51	0/0	---M--	404	error ('Not%20Found%20')	text/html	date:Wed,%2010%20Sep%202014%2019:47:39%20GMT	http://www.nguma.com/img/glyphicons-halflings.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/img/glyphicons-halflings.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:51	0/0	---M--	404	error ('Not%20Found%20')	text/html	date:Wed,%2010%20Sep%202014%2019:47:41%20GMT	http://www.nguma.com/img/glyphicons-halflings-white.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/img/glyphicons-halflings-white.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:52	178/178	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_flat_75_ffffff_40x100-3c4b974defa5e8bdaf8a603034c4435e.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_flat_75_ffffff_40x100-3c4b974defa5e8bdaf8a603034c4435e.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:53	101/101	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_highlight-soft_75_cccccc_1x100-cec5c56503b8480f834c3fce35dae8df.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_highlight-soft_75_cccccc_1x100-cec5c56503b8480f834c3fce35dae8df.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:53	25583/25583	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202014%2018:16:28%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.google-analytics.com/analytics.js	(from http://www.nguma.com/)
01:15:53	110/110	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_glass_75_e6e6e6_1x400-48d8d545f708e5870a965ce9df8b0e38.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_glass_75_e6e6e6_1x400-48d8d545f708e5870a965ce9df8b0e38.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:53	111/111	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_glass_75_dadada_1x400-d618461418b1ebc6b7996979f4c3dc92.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_glass_75_dadada_1x400-d618461418b1ebc6b7996979f4c3dc92.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:54	105/105	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_glass_65_ffffff_1x400-ddb7ee7527bff283054406c50e597e1e.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_glass_65_ffffff_1x400-ddb7ee7527bff283054406c50e597e1e.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:54	120/120	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_glass_55_fbf9ee_1x400-38c2dea4d046fd3f56cc3996e2e6018b.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_glass_55_fbf9ee_1x400-38c2dea4d046fd3f56cc3996e2e6018b.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:54	119/119	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-bg_glass_95_fef1ec_1x400-f3526b8f82249928f0a6baf044204b15.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-bg_glass_95_fef1ec_1x400-f3526b8f82249928f0a6baf044204b15.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
01:15:55	4369/4369	---M--	200	added ('OK%20')	image/png	date:Mon,%2021%20Oct%202013%2016:27:33%20GMT	http://www.nguma.com/assets/jquery-ui/ui-icons_222222_256x240-b1eb177a51ea7925448318a26d988842.png	C:/Users/srinath/Google%20Drive/free%20web%20templates/nguma/www.nguma.com/assets/jquery-ui/ui-icons_222222_256x240-b1eb177a51ea7925448318a26d988842.png	(from http://www.nguma.com/assets/application-7a84019c72e5e7bbfee69a792dedba90.css)
