date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:36	461/461	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:11:07%20GMT	http://2015.springfest.in/robots.txt		(from )
15:39:36	36145/36145	---MC-	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202014%2010:11:07%20GMT	http://2015.springfest.in/	C:/Users/srinath/Documents/springfest/2015.springfest.in/index.html	(from )
15:39:37	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%222d88074-47e-4fc3ea6799380%22	http://2015.springfest.in/favicon.ico	C:/Users/srinath/Documents/springfest/2015.springfest.in/favicon.ico	(from http://2015.springfest.in/)
15:39:38	29959/29959	---M--	200	added ('OK')	text/css	etag:%2227e85be-7507-501a0a7503540%22	http://2015.springfest.in/intial.css	C:/Users/srinath/Documents/springfest/2015.springfest.in/intial.css	(from http://2015.springfest.in/)
15:39:39	3005/3005	---M--	200	added ('OK')	text/css	etag:%22305ca17-bbd-4fb7975465200%22	http://2015.springfest.in/css/animations.css	C:/Users/srinath/Documents/springfest/2015.springfest.in/css/animations.css	(from http://2015.springfest.in/)
15:39:40	9688/9688	---M--	200	added ('OK')	text/css	etag:%22305cbde-25d8-500aa68f6d340%22	http://2015.springfest.in/css/component.css	C:/Users/srinath/Documents/springfest/2015.springfest.in/css/component.css	(from http://2015.springfest.in/)
15:39:44	5053/5053	---M--	200	added ('OK')	application/javascript	etag:%22305c95e-13bd-501a0e15e44c0%22	http://2015.springfest.in/js/awesome.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/awesome.js	(from http://2015.springfest.in/)
15:39:46	8946/8946	---M--	200	added ('OK')	application/javascript	etag:%22305ca0c-22f2-4fb7980997d80%22	http://2015.springfest.in/js/modernizr.custom.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/modernizr.custom.js	(from http://2015.springfest.in/)
15:39:46	157937/157937	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c7cdba182df8f5e8eb45961e6cee97c5%22	http://connect.facebook.net/en_US/sdk.js	C:/Users/srinath/Documents/springfest/connect.facebook.net/en_US/sdk.js	(from http://2015.springfest.in/)
15:39:49	8879/8879	---M--	200	added ('OK')	image/png	etag:%222d88078-22af-4fc3ea6799380%22	http://2015.springfest.in/img/logo/iit.png	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/logo/iit.png	(from http://2015.springfest.in/)
15:39:49	93068/93068	---M--	200	added ('OK')	application/javascript	etag:%22305ca0b-16b8c-4e401a76ecf80%22	http://2015.springfest.in/js/jquery.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/jquery.js	(from http://2015.springfest.in/)
15:39:50	15342/15342	---M--	200	added ('OK')	image/png	etag:%222d88076-3bee-4fc3ea6799380%22	http://2015.springfest.in/img/logo/logo.png	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/logo/logo.png	(from http://2015.springfest.in/)
15:39:50	25583/25583	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202014%2018:16:28%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/srinath/Documents/springfest/www.google-analytics.com/analytics.js	(from http://2015.springfest.in/)
15:39:53	38873/38873	---M--	200	added ('OK')	image/jpeg	etag:%222d88084-97d9-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/1.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/1.jpg	(from http://2015.springfest.in/)
15:39:59	30769/30769	---M--	200	added ('OK')	image/jpeg	etag:%222d88085-7831-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/5.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/5.jpg	(from http://2015.springfest.in/)
15:40:00	56830/56830	---M--	200	added ('OK')	image/jpeg	etag:%222d8808c-ddfe-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/3.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/3.jpg	(from http://2015.springfest.in/)
15:40:00	69882/69882	---M--	200	added ('OK')	image/jpeg	etag:%222d88094-110fa-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/2.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/2.jpg	(from http://2015.springfest.in/)
15:40:00	52476/52476	---M--	200	added ('OK')	image/jpeg	etag:%222d88097-ccfc-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/4.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/4.jpg	(from http://2015.springfest.in/)
15:40:01	30612/30612	---M--	200	added ('OK')	image/jpeg	etag:%222d88086-7794-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/6.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/6.jpg	(from http://2015.springfest.in/)
15:40:06	27207/27207	---M--	200	added ('OK')	image/jpeg	etag:%222d88096-6a47-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/8.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/8.jpg	(from http://2015.springfest.in/)
15:40:09	78756/78756	---M--	200	added ('OK')	image/jpeg	etag:%222d8808e-133a4-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/7.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/7.jpg	(from http://2015.springfest.in/)
15:40:12	50874/50874	---M--	200	added ('OK')	image/jpeg	etag:%222d88092-c6ba-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/10.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/10.jpg	(from http://2015.springfest.in/)
